"CasesOfFailures","SystemState1","failReasons1","SystemState2","failReasons2",""
"","","","","",""
"2_Failures_on_the_same_machine","running_backup","software","N/A","hardware",
"2_Failures_on_different_machines","running","hardware","running","hardware",
"2_Failures_on_different_machines","idle","hardware","idle","hardware",
"2_Failures_on_different_machines","running_backup","backup","runingBackup","hardware",
"2_Failures_on_different_machines","running_backup","backup","running","software",
"2_Failures_on_different_machines","running_backup","hardware","running","backup",
"1_Failure_on_one_machine","idle","software","N/A","N/A",
"2_Failures_on_different_machines","idle","hardware","runingBackup","backup",
"2_Failures_on_different_machines","running_backup","backup","idle","software",
"2_Failures_on_different_machines","idle","software","running","backup",
"2_Failures_on_different_machines","running","software","idle","backup",
"2_Failures_on_the_same_machine","running_backup","backup","N/A","backup",
"None","running_backup","N/A","N/A","N/A",
"1_Failure_on_one_machine","running_backup","backup","N/A","N/A",
"None","running","N/A","N/A","N/A",
"2_Failures_on_different_machines","running","software","runingBackup","software",
"1_Failure_on_one_machine","running","hardware","N/A","N/A",
"2_Failures_on_the_same_machine","idle","hardware","N/A","software",
"None","idle","N/A","N/A","N/A",
"2_Failures_on_the_same_machine","running","hardware","N/A","hardware",
