"CasesOfFailures","SystemState1","failReasons1","SystemState2","failReasons2","LEGAL_TASK"
"","","","","",""
"None","idle","N/A","N/A","N/A","true"
"None","running","N/A","N/A","N/A","true"
"None","running_backup","N/A","N/A","N/A","true"
"1_Failure_on_one_machine","idle","hardware","N/A","N/A","true"
"1_Failure_on_one_machine","idle","software","N/A","N/A","true"
"1_Failure_on_one_machine","running","hardware","N/A","N/A","true"
"1_Failure_on_one_machine","running","software","N/A","N/A","true"
"1_Failure_on_one_machine","running_backup","hardware","N/A","N/A","true"
"1_Failure_on_one_machine","running_backup","software","N/A","N/A","true"
"1_Failure_on_one_machine","running_backup","backup","N/A","N/A","true"
"2_Failures_on_different_machines","idle","hardware","idle","hardware","true"
"2_Failures_on_different_machines","idle","hardware","idle","software","true"
"2_Failures_on_different_machines","idle","hardware","running","hardware","true"
"2_Failures_on_different_machines","idle","hardware","running","software","true"
"2_Failures_on_different_machines","idle","hardware","runingBackup","hardware","true"
"2_Failures_on_different_machines","idle","hardware","runingBackup","software","true"
"2_Failures_on_different_machines","idle","hardware","runingBackup","backup","true"
"2_Failures_on_different_machines","idle","software","idle","hardware","true"
"2_Failures_on_different_machines","idle","software","idle","software","true"
"2_Failures_on_different_machines","idle","software","running","hardware","true"
"2_Failures_on_different_machines","idle","software","running","software","true"
"2_Failures_on_different_machines","idle","software","runingBackup","hardware","true"
"2_Failures_on_different_machines","idle","software","runingBackup","software","true"
"2_Failures_on_different_machines","idle","software","runingBackup","backup","true"
"2_Failures_on_different_machines","running","hardware","idle","hardware","true"
"2_Failures_on_different_machines","running","hardware","idle","software","true"
"2_Failures_on_different_machines","running","hardware","running","hardware","true"
"2_Failures_on_different_machines","running","hardware","running","software","true"
"2_Failures_on_different_machines","running","hardware","runingBackup","hardware","true"
"2_Failures_on_different_machines","running","hardware","runingBackup","software","true"
"2_Failures_on_different_machines","running","hardware","runingBackup","backup","true"
"2_Failures_on_different_machines","running","software","idle","hardware","true"
"2_Failures_on_different_machines","running","software","idle","software","true"
"2_Failures_on_different_machines","running","software","running","hardware","true"
"2_Failures_on_different_machines","running","software","running","software","true"
"2_Failures_on_different_machines","running","software","runingBackup","hardware","true"
"2_Failures_on_different_machines","running","software","runingBackup","software","true"
"2_Failures_on_different_machines","running","software","runingBackup","backup","true"
"2_Failures_on_different_machines","running_backup","hardware","idle","hardware","true"
"2_Failures_on_different_machines","running_backup","hardware","idle","software","true"
"2_Failures_on_different_machines","running_backup","hardware","running","hardware","true"
"2_Failures_on_different_machines","running_backup","hardware","running","software","true"
"2_Failures_on_different_machines","running_backup","hardware","runingBackup","hardware","true"
"2_Failures_on_different_machines","running_backup","hardware","runingBackup","software","true"
"2_Failures_on_different_machines","running_backup","hardware","runingBackup","backup","true"
