"CasesOfFailures","SystemState1","failReasons1","SystemState2","failReasons2",""
"","","","","",""
"2_Failures_on_the_same_machine","running_backup","hardware","N/A","backup",
"2_Failures_on_different_machines","running_backup","software","running_backup","backup",
"2_Failures_on_different_machines","idle","software","idle","software",
"2_Failures_on_different_machines","running_backup","software","running_backup","software",
"2_Failures_on_different_machines","idle","software","idle","hardware",
"1_Failure_on_one_machine","running","software","N/A","N/A",
"2_Failures_on_different_machines","running_backup","software","running","software",
"2_Failures_on_the_same_machine","running_backup","software","N/A","hardware",
"2_Failures_on_different_machines","running","hardware","idle","software",
"None","running_backup","N/A","N/A","N/A",
"2_Failures_on_different_machines","running","hardware","running","hardware",
"1_Failure_on_one_machine","running_backup","backup","N/A","N/A",
"2_Failures_on_different_machines","running_backup","hardware","running_backup","hardware",
"2_Failures_on_different_machines","running_backup","backup","running_backup","backup",
"None","running","N/A","N/A","N/A",
"2_Failures_on_different_machines","running_backup","backup","running","software",
"2_Failures_on_the_same_machine","idle","software","N/A","hardware",
"None","idle","N/A","N/A","N/A",
"2_Failures_on_the_same_machine","running","software","N/A","hardware",
"1_Failure_on_one_machine","idle","hardware","N/A","N/A",
"2_Failures_on_different_machines","running_backup","backup","idle","hardware",
